Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769900692583,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33941.0,54608.0,0.0,3.12403E-319,58389.0,46485.0,46741.0,6.3E-322,3.12403E-319,58389.0,47253.0,45461.0,0.0,0.0
1769900692618,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45461.0,0.0,0.0,13593.0,33941.0,54608.0,0.0,3.12403E-319,58389.0,46485.0,45973.0,6.3E-322,3.12403E-319,58389.0,45973.0,46485.0,0.0,0.0
1769900692652,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45461.0,0.0,0.0,13593.0,33941.0,54608.0,0.0,3.12403E-319,58389.0,42901.0,46997.0,6.3E-322,3.12403E-319,58389.0,45973.0,46485.0,0.0,0.0
1769900692686,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45461.0,0.0,0.0,13593.0,33941.0,54608.0,0.0,3.12403E-319,58389.0,42901.0,46997.0,6.3E-322,3.12403E-319,58389.0,45973.0,46485.0,0.0,0.0
1769900692720,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45461.0,0.0,0.0,13593.0,33941.0,54607.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.1114E-319,58389.0,47509.0,46229.0,0.0,0.0
1769900692754,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,33941.0,54607.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.1114E-319,58389.0,47509.0,46229.0,0.0,0.0
1769900692789,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,33941.0,54607.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.1114E-319,58389.0,47509.0,46229.0,0.0,0.0
1769900692823,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,33941.0,54607.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.13667E-319,58389.0,44437.0,44437.0,0.0,0.0
1769900692857,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,35477.0,55120.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.13667E-319,58389.0,44437.0,44437.0,0.0,0.0
1769900692891,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,35477.0,55120.0,0.0,3.13667E-319,58389.0,46997.0,45205.0,6.3E-322,3.13667E-319,58389.0,44437.0,44437.0,0.0,0.0
1769900692925,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,63893.0,43157.0,0.0,0.0,13593.0,35477.0,55120.0,0.0,3.1493E-319,58389.0,46229.0,44949.0,6.3E-322,3.1493E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900692959,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,63893.0,43157.0,0.0,0.0,13593.0,35477.0,55120.0,0.0,3.1493E-319,58389.0,43669.0,46997.0,6.3E-322,3.1493E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900692995,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,63893.0,43157.0,0.0,0.0,13593.0,35477.0,55120.0,0.0,3.1493E-319,58389.0,43669.0,46997.0,6.3E-322,3.1493E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900693029,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,63893.0,43157.0,0.0,0.0,13593.0,33685.0,55375.0,0.0,3.13667E-319,58389.0,47253.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,43925.0,0.0,0.0
1769900693063,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44693.0,0.0,0.0,13593.0,33685.0,55375.0,0.0,3.13667E-319,58389.0,47253.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,43925.0,0.0,0.0
1769900693099,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44693.0,0.0,0.0,13593.0,33685.0,55375.0,0.0,3.13667E-319,58389.0,47253.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,43925.0,0.0,0.0
1769900693133,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44693.0,0.0,0.0,13593.0,33685.0,55375.0,0.0,3.16197E-319,58389.0,47509.0,44693.0,6.3E-322,3.1493E-319,58389.0,46741.0,45717.0,0.0,0.0
